S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
94.4343253750526,0.96680880188103,0.000198412698412698,0.748292044097942,1,1e-06,0.74,1e-06,7,0.3,0.858864428353204,29.9520849493572
94.4343253750526,0.96680880188103,0.000198412698412698,0.748292044097942,-1,1e-06,0.74,1e-06,7,0.3,0.0270725279053383,0.0705062953029411
94.4343253750526,0.974397960856802,0.000198412698412698,0.123333608645102,1,1e-06,0.74,1e-06,7,0.3,2.08290602152991,29.2410836565629
94.4343253750526,0.974397960856802,0.000198412698412698,0.123333608645102,-1,1e-06,0.74,1e-06,7,0.3,0.0649129625644575,0.134619699436053
94.4343253750526,1.02031916102983,0.000198412698412698,0.737333040356294,1,1e-06,0.74,1e-06,7,0.3,0.770291710616692,24.9220314363327
94.4343253750526,1.02031916102983,0.000198412698412698,0.737333040356294,-1,1e-06,0.74,1e-06,7,0.3,0.001,1.91882626403907
94.4343253750526,1.18681193560547,0.000198412698412698,0.59250902425815,1,1e-06,0.74,1e-06,7,0.3,0.556275271935481,10.5338536832061
94.4343253750526,1.18681193560547,0.000198412698412698,0.59250902425815,-1,1e-06,0.74,1e-06,7,0.3,0.001,17.6414591109104
94.4343253750526,0.888797268435896,0.000198412698412698,0.883659075559639,1,1e-06,0.74,1e-06,7,0.3,0.921409900373248,37.3093757881861
94.4343253750526,0.888797268435896,0.000198412698412698,0.883659075559639,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.1571440605744,0.000198412698412698,0.39878182477106,1,1e-06,0.74,1e-06,7,0.3,0.735462045957034,12.7921046922684
94.4343253750526,1.1571440605744,0.000198412698412698,0.39878182477106,-1,1e-06,0.74,1e-06,7,0.3,0.001,14.8397933470399
94.4343253750526,0.830523315749583,0.000198412698412698,0.801926913016103,1,1e-06,0.74,1e-06,7,0.3,1.07515511934812,42.812168548206
94.4343253750526,0.830523315749583,0.000198412698412698,0.801926913016103,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.14937176111673,0.000198412698412698,0.971686596538839,1,1e-06,0.74,1e-06,7,0.3,0.481337375179241,13.4103010313284
94.4343253750526,1.14937176111673,0.000198412698412698,0.971686596538839,-1,1e-06,0.74,1e-06,7,0.3,0.001,14.1058214911416
94.4343253750526,0.80414966155428,0.000198412698412698,0.551687132933865,1,1e-06,0.74,1e-06,7,0.3,1.35737244831564,45.3046007173022
94.4343253750526,0.80414966155428,0.000198412698412698,0.551687132933865,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.1085282573067,0.000198412698412698,0.118676754423461,1,1e-06,0.74,1e-06,7,0.3,1.53958924974611,16.8665105706525
94.4343253750526,1.1085282573067,0.000198412698412698,0.118676754423461,-1,1e-06,0.74,1e-06,7,0.3,0.001,10.2487927628882
94.4343253750526,0.872107875550708,0.000198412698412698,0.117527717338862,1,1e-06,0.74,1e-06,7,0.3,2.60685410784808,38.8910650315748
94.4343253750526,0.872107875550708,0.000198412698412698,0.117527717338862,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,0.861665136951869,0.000198412698412698,0.766044726863864,1,1e-06,0.74,1e-06,7,0.3,1.04045177179789,39.872062672219
94.4343253750526,0.861665136951869,0.000198412698412698,0.766044726863864,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.11108096422953,0.000198412698412698,0.313787098031421,1,1e-06,0.74,1e-06,7,0.3,0.940372064172003,16.6412112379938
94.4343253750526,1.11108096422953,0.000198412698412698,0.313787098031421,-1,1e-06,0.74,1e-06,7,0.3,0.001,10.4898559190258
94.4343253750526,1.00557733750908,0.000198412698412698,0.795848546871367,1,1e-06,0.74,1e-06,7,0.3,0.766464504344072,26.3012143906381
94.4343253750526,1.00557733750908,0.000198412698412698,0.795848546871367,-1,1e-06,0.74,1e-06,7,0.3,0.0186006479890058,0.917096730393541
94.4343253750526,1.13952707890743,0.000198412698412698,0.261006332428899,1,1e-06,0.74,1e-06,7,0.3,0.955339287153061,14.220985063985
94.4343253750526,1.13952707890743,0.000198412698412698,0.261006332428899,-1,1e-06,0.74,1e-06,7,0.3,0.001,13.176145568175
94.4343253750526,0.889316431661415,0.000198412698412698,0.570847007260609,1,1e-06,0.74,1e-06,7,0.3,1.14544284039685,37.2626712478153
94.4343253750526,0.889316431661415,0.000198412698412698,0.570847007260609,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,0.917866001074844,0.000198412698412698,0.577528080044765,1,1e-06,0.74,1e-06,7,0.3,1.0784553439113,34.5668708668898
94.4343253750526,0.917866001074844,0.000198412698412698,0.577528080044765,-1,1e-06,0.74,1e-06,7,0.3,0.0414644221979351,0.00345527719793634
94.4343253750526,1.06014969669584,0.000198412698412698,0.554908036361359,1,1e-06,0.74,1e-06,7,0.3,0.806130098538033,21.2230059005737
94.4343253750526,1.06014969669584,0.000198412698412698,0.554908036361359,-1,1e-06,0.74,1e-06,7,0.3,0.001,5.68019602898535
94.4343253750526,0.839013440699781,0.000198412698412698,0.785124745007371,1,1e-06,0.74,1e-06,7,0.3,1.07040443610907,42.0106767369253
94.4343253750526,0.839013440699781,0.000198412698412698,0.785124745007371,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.03525232043091,0.000198412698412698,0.907942355118476,1,1e-06,0.74,1e-06,7,0.3,0.669857072497594,23.5264447144742
94.4343253750526,1.03525232043091,0.000198412698412698,0.907942355118476,-1,1e-06,0.74,1e-06,7,0.3,0.001,3.32902909779814
94.4343253750526,0.819489952323651,0.000198412698412698,0.360198693810835,1,1e-06,0.74,1e-06,7,0.3,1.63589816059262,43.8577754594969
94.4343253750526,0.819489952323651,0.000198412698412698,0.360198693810835,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,0.883384214943537,0.000198412698412698,0.533512955587029,1,1e-06,0.74,1e-06,7,0.3,1.19806088737614,37.8230930908556
94.4343253750526,0.883384214943537,0.000198412698412698,0.533512955587029,-1,1e-06,0.74,1e-06,7,0.3,0.001,0
94.4343253750526,1.00691915353864,0.000198412698412698,0.952266343433333,1,1e-06,0.74,1e-06,7,0.3,0.698562023138123,26.1740510879849
94.4343253750526,1.00691915353864,0.000198412698412698,0.952266343433333,-1,1e-06,0.74,1e-06,7,0.3,0.0165445636706698,0.982555704554834
94.4343253750526,1.18400692133437,0.000198412698412698,0.729560844954618,1,1e-06,0.74,1e-06,7,0.3,0.504985622357313,10.7365552575066
