S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
103.585935150953,0.96680880188103,0.000198412698412698,0.748292044097942,1,1.33e-06,0.8,1e-06,5,0.2,0.361612476118281,14.4431041061214
103.585935150953,0.96680880188103,0.000198412698412698,0.748292044097942,-1,1.33e-06,0.8,1e-06,5,0.2,0.0382375757609767,0.267455354471101
103.585935150953,0.974397960856802,0.000198412698412698,0.123333608645102,1,1.33e-06,0.8,1e-06,5,0.2,0.865330191500057,13.6923712564891
103.585935150953,0.974397960856802,0.000198412698412698,0.123333608645102,-1,1.33e-06,0.8,1e-06,5,0.2,0.0920865631712619,0.394049362801157
103.585935150953,1.02031916102983,0.000198412698412698,0.737333040356294,1,1.33e-06,0.8,1e-06,5,0.2,0.291690461732838,9.39217577597044
103.585935150953,1.02031916102983,0.000198412698412698,0.737333040356294,-1,1.33e-06,0.8,1e-06,5,0.2,0.0238578954170662,2.28037557552158
103.585935150953,1.18681193560547,0.000198412698412698,0.59250902425815,1,1.33e-06,0.8,1e-06,5,0.2,0.180377892929228,0.810673312042327
103.585935150953,1.18681193560547,0.000198412698412698,0.59250902425815,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,19.3510890470523
103.585935150953,0.888797268435896,0.000198412698412698,0.883659075559639,1,1.33e-06,0.8,1e-06,5,0.2,0.440727441897835,22.4227746778803
103.585935150953,0.888797268435896,0.000198412698412698,0.883659075559639,-1,1.33e-06,0.8,1e-06,5,0.2,0.047319952751306,0.00702334575009825
103.585935150953,1.1571440605744,0.000198412698412698,0.39878182477106,1,1.33e-06,0.8,1e-06,5,0.2,0.238265074053188,1.45977065445563
103.585935150953,1.1571440605744,0.000198412698412698,0.39878182477106,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,16.2779144680173
103.585935150953,0.830523315749583,0.000198412698412698,0.801926913016103,1,1.33e-06,0.8,1e-06,5,0.2,0.548831081714666,28.4585409319617
103.585935150953,0.830523315749583,0.000198412698412698,0.801926913016103,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,1.14937176111673,0.000198412698412698,0.971686596538839,1,1.33e-06,0.8,1e-06,5,0.2,0.156073013725899,1.69058830273617
103.585935150953,1.14937176111673,0.000198412698412698,0.971686596538839,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,15.4728135604209
103.585935150953,0.80414966155428,0.000198412698412698,0.551687132933865,1,1.33e-06,0.8,1e-06,5,0.2,0.710530611277607,31.1915961812856
103.585935150953,0.80414966155428,0.000198412698412698,0.551687132933865,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,1.1085282573067,0.000198412698412698,0.118676754423461,1,1.33e-06,0.8,1e-06,5,0.2,0.511389655484052,3.30209762844935
103.585935150953,1.1085282573067,0.000198412698412698,0.118676754423461,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,11.2420010234176
103.585935150953,0.872107875550708,0.000198412698412698,0.117527717338862,1,1.33e-06,0.8,1e-06,5,0.2,1.27283991684525,24.1549344607497
103.585935150953,0.872107875550708,0.000198412698412698,0.117527717338862,-1,1.33e-06,0.8,1e-06,5,0.2,0.133559649264207,0.00223313763577364
103.585935150953,0.861665136951869,0.000198412698412698,0.766044726863864,1,1.33e-06,0.8,1e-06,5,0.2,0.513951387022359,25.2333790363007
103.585935150953,0.861665136951869,0.000198412698412698,0.766044726863864,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,1.11108096422953,0.000198412698412698,0.313787098031421,1,1.33e-06,0.8,1e-06,5,0.2,0.311747484514186,3.18387985078482
103.585935150953,1.11108096422953,0.000198412698412698,0.313787098031421,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,11.5064255571852
103.585935150953,1.00557733750908,0.000198412698412698,0.795848546871367,1,1.33e-06,0.8,1e-06,5,0.2,0.29835213284402,10.7127882425834
103.585935150953,1.00557733750908,0.000198412698412698,0.795848546871367,-1,1.33e-06,0.8,1e-06,5,0.2,0.0293141325119821,1.38616190903223
103.585935150953,1.13952707890743,0.000198412698412698,0.261006332428899,1,1.33e-06,0.8,1e-06,5,0.2,0.311228579972565,2.0128382066243
103.585935150953,1.13952707890743,0.000198412698412698,0.261006332428899,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,14.4530429475071
103.585935150953,0.889316431661416,0.000198412698412698,0.570847007260609,1,1.33e-06,0.8,1e-06,5,0.2,0.547623054902785,22.3703965160307
103.585935150953,0.889316431661416,0.000198412698412698,0.570847007260609,-1,1.33e-06,0.8,1e-06,5,0.2,0.0587940993865996,0.00717281319479299
103.585935150953,0.917866001074844,0.000198412698412698,0.577528080044765,1,1.33e-06,0.8,1e-06,5,0.2,0.493908323876988,19.4138899170304
103.585935150953,0.917866001074844,0.000198412698412698,0.577528080044765,-1,1.33e-06,0.8,1e-06,5,0.2,0.0499656192935202,0.0161096443482303
103.585935150953,1.06014969669584,0.000198412698412698,0.554908036361359,1,1.33e-06,0.8,1e-06,5,0.2,0.284310371098569,6.20865171749543
103.585935150953,1.06014969669584,0.000198412698412698,0.554908036361359,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,6.23066258128442
103.585935150953,0.839013440699781,0.000198412698412698,0.785124745007371,1,1.33e-06,0.8,1e-06,5,0.2,0.541742441535136,27.5793152731515
103.585935150953,0.839013440699781,0.000198412698412698,0.785124745007371,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,1.03525232043091,0.000198412698412698,0.907942355118476,1,1.33e-06,0.8,1e-06,5,0.2,0.246293597907332,8.12505948201769
103.585935150953,1.03525232043091,0.000198412698412698,0.907942355118476,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,3.65164457807683
103.585935150953,0.819489952323651,0.000198412698412698,0.360198693810835,1,1.33e-06,0.8,1e-06,5,0.2,0.844271672557006,29.6038574429169
103.585935150953,0.819489952323651,0.000198412698412698,0.360198693810835,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,0.883384214943537,0.000198412698412698,0.533512955587029,1,1.33e-06,0.8,1e-06,5,0.2,0.577016549519156,22.9849916723433
103.585935150953,0.883384214943537,0.000198412698412698,0.533512955587029,-1,1.33e-06,0.8,1e-06,5,0.2,0.0614715908124773,0.0054699555619211
103.585935150953,1.00691915353864,0.000198412698412698,0.952266343433333,1,1.33e-06,0.8,1e-06,5,0.2,0.271205790122776,10.5908480318728
103.585935150953,1.00691915353864,0.000198412698412698,0.952266343433333,-1,1.33e-06,0.8,1e-06,5,0.2,0.0263771835141114,1.4532975587909
103.585935150953,1.18400692133437,0.000198412698412698,0.729560844954618,1,1.33e-06,0.8,1e-06,5,0.2,0.163590950729725,0.85756343216333
103.585935150953,1.18400692133437,0.000198412698412698,0.729560844954618,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,19.0605290206683
103.585935150953,1.14804965465088,0.000198412698412698,0.624049235805304,1,1.33e-06,0.8,1e-06,5,0.2,0.195588731305675,1.73071876282282
103.585935150953,1.14804965465088,0.000198412698412698,0.624049235805304,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,15.3358619257875
103.585935150953,0.923173981049988,0.000198412698412698,0.567452331374771,1,1.33e-06,0.8,1e-06,5,0.2,0.488981962360995,18.8686802486017
103.585935150953,0.923173981049988,0.000198412698412698,0.567452331374771,-1,1.33e-06,0.8,1e-06,5,0.2,0.0498293492063928,0.0221926397703982
103.585935150953,0.970288564207558,0.000198412698412698,0.833125366445097,1,1.33e-06,0.8,1e-06,5,0.2,0.338096519163491,14.0978621820782
103.585935150953,0.970288564207558,0.000198412698412698,0.833125366445097,-1,1.33e-06,0.8,1e-06,5,0.2,0.0360768579824696,0.322955005053709
103.585935150953,1.09160549691565,0.000198412698412698,0.605115642094877,1,1.33e-06,0.8,1e-06,5,0.2,0.240847759677732,4.20021434032163
103.585935150953,1.09160549691565,0.000198412698412698,0.605115642094877,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,9.4890410629751
103.585935150953,1.14550399422803,0.000198412698412698,0.356415368704864,1,1.33e-06,0.8,1e-06,5,0.2,0.260843068075708,1.80785948518507
103.585935150953,1.14550399422803,0.000198412698412698,0.356415368704864,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,15.0721673103097
103.585935150953,1.05765741442733,0.000198412698412698,0.442673640671605,1,1.33e-06,0.8,1e-06,5,0.2,0.321939729911007,6.39175180162006
103.585935150953,1.05765741442733,0.000198412698412698,0.442673640671605,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,5.97249719184146
103.585935150953,0.914421528664206,0.000198412698412698,0.9622950098671,1,1.33e-06,0.8,1e-06,5,0.2,0.387202545914326,19.7686245253006
103.585935150953,0.914421528664206,0.000198412698412698,0.9622950098671,-1,1.33e-06,0.8,1e-06,5,0.2,0.0397000907866331,0.0143783468359617
103.585935150953,1.14355570691722,0.000198412698412698,0.435440039477752,1,1.33e-06,0.8,1e-06,5,0.2,0.237513116423141,1.87016375989262
103.585935150953,1.14355570691722,0.000198412698412698,0.435440039477752,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,14.870352147276
103.585935150953,0.899404050975092,0.000198412698412698,0.504977878945716,1,1.33e-06,0.8,1e-06,5,0.2,0.563274749506882,21.3258586496079
103.585935150953,0.899404050975092,0.000198412698412698,0.504977878945716,-1,1.33e-06,0.8,1e-06,5,0.2,0.0613593791183822,0.0100686904163576
103.585935150953,0.815424672352564,0.000198412698412698,0.802090414472207,1,1.33e-06,0.8,1e-06,5,0.2,0.571771168081628,30.0222983770295
103.585935150953,0.815424672352564,0.000198412698412698,0.802090414472207,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,0
103.585935150953,0.983221979289636,0.000198412698412698,0.37751464626842,1,1.33e-06,0.8,1e-06,5,0.2,0.476803649011892,12.8314625247704
103.585935150953,0.983221979289636,0.000198412698412698,0.37751464626842,-1,1.33e-06,0.8,1e-06,5,0.2,0.0508227230809375,0.591045308284032
103.585935150953,1.09140287663829,0.000198412698412698,0.641452791133192,1,1.33e-06,0.8,1e-06,5,0.2,0.234100464272472,4.21182207417043
103.585935150953,1.09140287663829,0.000198412698412698,0.641452791133192,-1,1.33e-06,0.8,1e-06,5,0.2,0.001,9.46805245206448
